tissue,dataset_name,platform,expected_sender_cell_types,module_id,pathway,tier,evidence_status,expected_receiver_cell_types,training_coupling,training_gating,training_pattern_magnitude,training_status,corr_above_null,within_stratum_support,manual_review_required,source_experiment,source_manual_review_required,source_module_id,biobench_v2_action,included_in_clean,biobench_v2_notes
bladder,tissue::bladder,combined_cells_v13,epithelial;tumor;fibroblast,context_dependent_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Context-dependent WNT rows retained only for audit manifest.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;fibroblast,egfr_ligands,EGFR,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,egfr_erbb_ligands,split_egfr_erbb,true,Split classical EGFR ligands from neuregulins.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;tcell;bcell_plasma,il10_immune,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL10 immune receptor axis.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;epithelial;tumor;fibroblast,il20_24_epithelial_stromal,JAK-STAT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL19/20/24 epithelial-stromal receptor axis.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid,il22_epithelial,JAK-STAT,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL22RA1-restricted epithelial receiver logic; IL22RA2 is decoy-only.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid,il26_context_specific,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family_review,false,IL26 retained only in unfiltered audit rows.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid,il2_common_gamma_chain,JAK-STAT,ALL,training_ok,tcell;myeloid,0.0937439335792256,-0.1709673444007325,0.2647112779799581,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il2_family,tighten_sender_context,true,Removed broad fibroblast sender assignment.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il6_gp130_family,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,0.0013870536652752,-0.2177399556691714,0.2191270093344466,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,gp130 cytokine row with CRLF1 retained for CLCF1.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il31_osmr_ligand,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,0.0013870536652752,-0.2177399556691714,0.2191270093344466,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,IL31 split onto IL31RA/OSMR rather than generic IL6ST biology.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_i_interferons,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,-0.0301403148096468,-0.2516563130701381,0.2817966278797849,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type I IFN receptor axis.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_ii_interferon,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,-0.0301403148096468,-0.2516563130701381,0.2817966278797849,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type II IFN receptor axis.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_iii_interferons,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,-0.0301403148096468,-0.2516563130701381,0.2817966278797849,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type III IFN receptor axis.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;fibroblast;epithelial;tumor;endothelial;pericyte,tgfb_ligands,TGFb,ALL,training_underpowered,fibroblast;epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tgfb_ligands,keep_minor_annotation_edit,true,Kept; TGFBR3 treated as accessory co-receptor.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;tcell,tnf_lta_tnfr1_2,TNFa,ALL,training_ok,tcell;myeloid;endothelial,0.108006513757752,-0.0023890573711138,0.1103955711288658,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,tnf_ligands,split_tnf_lymphotoxin,true,TNF/LTA homotrimer through TNFR1/2.
bone_marrow,tissue::bone_marrow,combined_cells_v13,myeloid;tcell,lymphotoxin_light_ltbr_hvem,TNFa,ALL,training_ok,tcell;myeloid;endothelial,0.108006513757752,-0.0023890573711138,0.1103955711288658,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,tnf_ligands,split_tnf_lymphotoxin,true,LTB/LTBR and LIGHT/HVEM separated from TNFR1/2.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid,trail_death_receptor,Trail,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
bone_marrow,tissue::bone_marrow,combined_cells_v13,tcell;myeloid,fas_death_receptor,Trail,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfa_vegfr2_axis,VEGF,ALL,training_underpowered,endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFA VEGFR2/1 axis; endothelial receivers only.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfb_pgf_vegfr1_axis,VEGF,ALL,training_underpowered,endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR1-skewed VEGFB/PGF axis; endothelial receivers only.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfc_vegfd_vegfr3_axis,VEGF,ALL,training_underpowered,endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR3/KDR VEGFC-D axis; endothelial receivers only.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;fibroblast,canonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,true,Canonical-favoring WNT ligands retained for WNT/PROGENy readout.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;fibroblast,noncanonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Noncanonical WNT rows retained only for audit manifest.
bone_marrow,tissue::bone_marrow,combined_cells_v13,epithelial;tumor;fibroblast,context_dependent_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Context-dependent WNT rows retained only for audit manifest.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;fibroblast,egfr_ligands,EGFR,ALL,training_unavailable,epithelial;tumor,,,,UNAVAILABLE,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,egfr_erbb_ligands,split_egfr_erbb,true,Split classical EGFR ligands from neuregulins.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_unavailable,epithelial;tumor,,,,UNAVAILABLE,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
brain,tissue::brain,combined_cells_v13,myeloid;tcell;bcell_plasma,il10_immune,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL10 immune receptor axis.
brain,tissue::brain,combined_cells_v13,myeloid;epithelial;tumor;fibroblast,il20_24_epithelial_stromal,JAK-STAT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL19/20/24 epithelial-stromal receptor axis.
brain,tissue::brain,combined_cells_v13,tcell;myeloid,il22_epithelial,JAK-STAT,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL22RA1-restricted epithelial receiver logic; IL22RA2 is decoy-only.
brain,tissue::brain,combined_cells_v13,tcell;myeloid,il26_context_specific,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family_review,false,IL26 retained only in unfiltered audit rows.
brain,tissue::brain,combined_cells_v13,tcell;myeloid,il2_common_gamma_chain,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il2_family,tighten_sender_context,true,Removed broad fibroblast sender assignment.
brain,tissue::brain,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il6_gp130_family,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid;tcell,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il6_family,split_il6_gp130_il31,true,gp130 cytokine row with CRLF1 retained for CLCF1.
brain,tissue::brain,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il31_osmr_ligand,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid;tcell,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il6_family,split_il6_gp130_il31,true,IL31 split onto IL31RA/OSMR rather than generic IL6ST biology.
brain,tissue::brain,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_i_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type I IFN receptor axis.
brain,tissue::brain,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_ii_interferon,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type II IFN receptor axis.
brain,tissue::brain,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_iii_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type III IFN receptor axis.
brain,tissue::brain,combined_cells_v13,myeloid;fibroblast;epithelial;tumor;endothelial;pericyte,tgfb_ligands,TGFb,ALL,training_underpowered,fibroblast;epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tgfb_ligands,keep_minor_annotation_edit,true,Kept; TGFBR3 treated as accessory co-receptor.
brain,tissue::brain,combined_cells_v13,myeloid;tcell,tnf_lta_tnfr1_2,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,TNF/LTA homotrimer through TNFR1/2.
brain,tissue::brain,combined_cells_v13,myeloid;tcell,lymphotoxin_light_ltbr_hvem,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,LTB/LTBR and LIGHT/HVEM separated from TNFR1/2.
brain,tissue::brain,combined_cells_v13,tcell;myeloid,trail_death_receptor,Trail,ALL,training_unavailable,epithelial;tumor,,,,UNAVAILABLE,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
brain,tissue::brain,combined_cells_v13,tcell;myeloid,fas_death_receptor,Trail,ALL,training_unavailable,epithelial;tumor,,,,UNAVAILABLE,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfa_vegfr2_axis,VEGF,ALL,training_ok,endothelial,-0.0249199857827905,0.0332445210161352,0.05816450679892571,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFA VEGFR2/1 axis; endothelial receivers only.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfb_pgf_vegfr1_axis,VEGF,ALL,training_ok,endothelial,-0.0249199857827905,0.0332445210161352,0.05816450679892571,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR1-skewed VEGFB/PGF axis; endothelial receivers only.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfc_vegfd_vegfr3_axis,VEGF,ALL,training_ok,endothelial,-0.0249199857827905,0.0332445210161352,0.05816450679892571,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR3/KDR VEGFC-D axis; endothelial receivers only.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;fibroblast,canonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,true,Canonical-favoring WNT ligands retained for WNT/PROGENy readout.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;fibroblast,noncanonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Noncanonical WNT rows retained only for audit manifest.
brain,tissue::brain,combined_cells_v13,epithelial;tumor;fibroblast,context_dependent_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Context-dependent WNT rows retained only for audit manifest.
breast,tissue::breast,combined_cells_v13,epithelial;tumor;fibroblast,egfr_ligands,EGFR,ALL,training_ok,epithelial;tumor,-0.1776510968922096,-0.0972710272830287,0.2749221241752383,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Split classical EGFR ligands from neuregulins.
breast,tissue::breast,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_ok,epithelial;tumor,-0.1776510968922096,-0.0972710272830287,0.2749221241752383,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
